name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
YSZ,YSZ,,TBA,,,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.02,0.77
Al2O3,Al2O3,,water,one-sided,vertical-up,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.65
CaP,CaP,,water,,,Ceramic,polyethylene,,,PVA,0.16,208.0,0.0,0.0,2.0,873.0,0.2,0.77
Cordierite,Cordierite,,water,,,Ceramic,"plastic, noi",,,,,223.0,0.0,24.0,2.0,1473.0,0.1,0.87
BT,BT/Kaolinite,kaolinite,water,,,Ceramic,,,,PVA,0.002,243.0,0.0,0.0,,873.0,0.11,0.6
HAP,HAP,,water,,,Ceramic,PTFE,Darvan 811,0.01,PVA,0.01,,0.0,,,1573.0,0.32,0.47
Al2O3,Al2O3,,water,,,Ceramic,"plastic, noi",AFP,,,,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,Al2O3,CuO,water,,,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.52
theophylline,Theophyllinum/potato starch,starch,water,,,Pharmaceutical,"plastic, noi",,,saccharose,0.1,243.0,0.0,24.0,,,0.34,0.42
Al2O3,Al2O3,CuO,water,,,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.46
ZrB2,ZrB2/SiC,SiC,camphene,,,Ceramic,,Hypemer KD,0.03,,,,0.0,72.0,3.0,823.0,0.25,0.55
Al2O3,Al2O3,,water,one-sided,vertical-up,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.65
kaolinite,Mullite,Al2O3,water,,,Ceramic,"plastic, noi",,,,,213.0,0.0,24.0,2.0,1773.0,0.05,0.911
Ni,Ni,,water,,,Metal,"plastic, noi",CMC,,,,263.0,0.0,,,773.0,0.1,0.85
Ni,Ni,,water,,,Metal,"plastic, noi",CMC,,,,233.0,0.0,,,773.0,0.1,0.85
Yb2SiO5,Yb2SiO5,,water,,,Ceramic,,ammonium polymethacrylate anionic dispersant,0.003,PVA,0.01,77.0,0.0,48.0,2.0,873.0,0.2,0.791
SiO2,SiO2,,TBA,,,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.07,0.7
Al2O3,Al2O3/SiC,SiC,water,,,Ceramic,epoxy,,,,,77.0,0.0,0.0,1.0,873.0,0.55,0.07
HAP,HAP,,water,one-sided,vertical-up,Ceramic,PVC,Dispex A40,0.02,PVA,0.03,,,24.0,4.0,1573.0,0.2459,0.6
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0155,0.97
HAP,HAP/PMMA,,water,,,Ceramic/Polymer,"plastic, noi",Darvan 811,0.01,Aquazol,0.02,,0.0,48.0,4.0,1573.0,0.2,0.16
LSCF,LSCF/CGO,GCO,water,,,Ceramic,,Alon A-6114,,,,193.0,0.0,,5.0,1623.0,0.27,0.431
Al2O3,Al2O3,,water,,,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.32
Yb2SiO5,Yb2SiO5,,TBA,,,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,673.0,0.15,0.852
YSZ,YSZ,,water,,,Ceramic,,,,,,,0.0,,,,0.0122,0.9
Bioglass,Bioglass,,camphene,,,Ceramic,,Dolapix CE 64,0.06,,,,0.0,,3.0,1523.0,0.0847,0.69
SiO2,SiO2,,water,,,Ceramic,glass,,,,,,0.0,,,,0.1392,0.4
YSZ,YSZ,,TBA,,,Ceramic,,,,,,,0.0,,2.0,1773.0,0.15,0.718
Al2O3,Al2O3,,water,one-sided,vertical-up,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.82
TCP,TCP,,water,,,Ceramic,polyproplyene,,,PVA,0.04,77.0,0.0,24.0,0.5,873.0,0.02,0.54
