name_part1,name_part2,name_fluid1,material_group,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
HAP,TCP,water,Ceramic,243.0,0.0,168.0,,,0.1091,0.3
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.54
TiO2,,water,Ceramic,,,24.0,2.0,1573.0,0.3527,0.36
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.55
HAP,,water,Ceramic/Polymer,263.0,0.0,,2.0,1773.0,0.35,0.31
HAP,MgO,TBA,Ceramic,,0.0,,1.0,1673.0,0.05,0.84
HAP,,water,Ceramic,,0.0,,,,0.15,0.763
SiO2,kaolinite,water,Ceramic,238.0,2.0,0.0,2.0,673.0,0.1628,0.74
HAP,,water,Ceramic,,14.0,,2.0,1563.0,0.15,0.78
BaTiO3,Al2O3,water,Ceramic,,0.0,,2.0,1673.0,0.2,0.246
YSZ,,water,Ceramic,,0.0,,,,0.0189,0.78
HAP,TCP,water,Ceramic,243.0,0.0,168.0,,,0.1091,0.54
Bioglass,,camphene,Ceramic,,0.0,24.0,1.0,1673.0,0.1,0.86
stainless steel,,water,Ceramic,233.0,0.0,0.0,2.0,1773.0,0.36,0.38
HAP,,water,Ceramic,,7.0,,4.0,1573.0,0.25,0.56
YSZ,,TBA,Ceramic,195.0,0.0,0.0,,873.0,0.15,0.745
Si3N4,Y2O3,water,Ceramic,248.0,0.0,24.0,,2123.0,0.2,0.628
Al2O3,,water,Ceramic,223.0,0.0,24.0,,1823.0,0.4,0.36
Al2O3,,TBA,Ceramic,,0.0,72.0,2.0,1873.0,0.25,0.28
Ag,,water,Metal,77.0,0.0,48.0,,,0.001,0.959
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,773.0,0.55,0.07
Al2O3,YSZ,water,Ceramic,253.0,0.0,48.0,30.0,773.0,0.3,0.6
Mullite,,TBA,Ceramic,,0.0,0.0,2.0,1773.0,0.1583,0.62
PVA,,water,Polymer,77.0,0.0,,,,0.0657,0.8
Al2O3,,water,Ceramic,,0.0,,0.5,873.0,0.2,0.7102
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.64
YSZ,,water,Ceramic,255.0,0.0,24.0,2.0,873.0,0.3297,0.43
LSM,YSZ,water,Ceramic,,5.0,12.0,1.0,873.0,0.17,0.66
Al2O3,,water,Ceramic,,1.0,24.0,2.0,1823.0,0.35,0.486
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.1,0.7
PVA,,water,Polymer,77.0,0.0,,,,0.0211,0.88
Y2O3,SiO2,TBA,Ceramic,,0.0,12.0,1.0,1023.0,0.0788,0.6
kaolinite,Al2O3,water,Ceramic,233.0,0.0,24.0,2.0,1773.0,0.07,0.852
HAP,Al2O3,water,Ceramic,,4.0,,24.0,873.0,0.15,0.8037
SiO2,kaolinite,water,Ceramic,238.0,0.0,,,1523.0,0.24,0.75
AlN,AlN,water,Ceramic,233.0,0.0,,2.0,873.0,0.49,0.08
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.79
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,,0.0,0.0,1.0,963.0,0.1,0.79
SiO2,kaolinite,water,Ceramic,238.0,2.0,0.0,,,0.1628,0.82
Al2O3,,water,Ceramic,,10.0,48.0,,,0.27,0.918
LSM,YSZ,water,Ceramic,,5.0,12.0,1.0,873.0,0.17,0.65
LSM,YSZ,water,Ceramic,,5.0,12.0,1.0,873.0,0.23,0.596
Al2O3,,naphthalene,Ceramic,291.0,0.0,60.0,4.0,1873.0,0.2,0.55
HAP,,camphene,Ceramic,,0.0,,,1523.0,0.15,0.66
BaTiO3,Al2O3,water,Ceramic,,0.0,,2.0,1673.0,0.2,0.403
Zeo,,water,Ceramic,123.0,0.0,48.0,1.5,1823.0,0.1892,0.7146
Al2O3,TiO2,water,Ceramic,,0.0,24.0,0.5,773.0,0.05,0.68
Mullite,,TBA,Ceramic,173.0,0.0,12.0,2.0,1823.0,0.35,0.595
Mullite,,TBA,Ceramic,253.0,0.0,12.0,2.0,1823.0,0.35,0.58
WO3,,water,Metal,258.0,0.0,,,1023.0,0.2,0.66
PVA,collagen,water,Ceramic/Polymer,233.0,0.0,5.0,,,0.07,0.87
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.82
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1673.0,0.15,0.51
YSZ,,TBA,Ceramic,,0.0,,,,0.5,0.78
SiO2,,water,Ceramic,193.0,0.0,12.0,2.0,1523.0,0.01,0.98
HAP,BT,water,Ceramic,173.0,5.0,24.0,3.0,873.0,0.2,0.606
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1573.0,0.1,0.586
HAP,PMMA,water,Ceramic,255.0,0.0,8.0,2.0,873.0,0.2406,0.6519
HAP,,water,Ceramic,253.0,0.0,,3.0,1673.0,0.2,0.52
PZT,,TBA,Ceramic,,0.0,0.0,2.0,1573.0,0.15,0.576
